index,locate,name,rating,classfications,address,hour,url
20,보신각,죠티 인디언 레스토랑 & 바,4.5,인도 레스토랑,서울특별시 종로구 종로12길 6-11, 11:30~ 11:00,"https://www.google.com/maps/place/%EC%A3%A0%ED%8B%B0+%EC%9D%B8%EB%94%94%EC%96%B8+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91+%26+%EB%B0%94/@37.568921,126.9801821,16z/data=!4m17!1m10!2m9!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!6e5!3m5!1s0x357ca2e6213ed77d:0x9cebe1149c6d62d8!8m2!3d37.5696724!4d126.9849947!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgERaW5kaWFuX3Jlc3RhdXJhbnQ"
21,보신각,포탈라레스토랑 종로점,4.4,네팔 레스토랑,서울특별시 종로구 관철동 35-2, 11:00~ 11:00,"https://www.google.com/maps/place/%ED%8F%AC%ED%83%88%EB%9D%BC%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91+%EC%A2%85%EB%A1%9C%EC%A0%90/@37.568921,126.9801821,16z/data=!4m17!1m10!2m9!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!6e5!3m5!1s0x357ca2e5616fe31d:0x99350c9eaad95312!8m2!3d37.5683742!4d126.9886558!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgETbmVwYWxlc2VfcmVzdGF1cmFudA"
22,보신각,왕비집 종로점,4.3,한식 고기구이 레스토랑,서울특별시 종로구 삼일대로15길 24 2층, 11:00~ 10:00,"https://www.google.com/maps/place/%EC%99%95%EB%B9%84%EC%A7%91+%EC%A2%85%EB%A1%9C%EC%A0%90/@37.568921,126.9801821,16z/data=!4m17!1m10!2m9!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!6e5!3m5!1s0x357ca2efdc449835:0xe931eba4d2dc0ac3!8m2!3d37.568923!4d126.986169!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgEaa29yZWFuX2JhcmJlY3VlX3Jlc3RhdXJhbnQ"
23,보신각,중심,4.4,중국 음식점,서울특별시 종로구 공평동 우정국로 26, 11:30~ 2:30,"https://www.google.com/maps/place/%EC%A4%91%EC%8B%AC/@37.5689208,126.9801821,16z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!3m5!1s0x357ca3b4ef10fe9f:0xe283d8a6a42b212d!8m2!3d37.5712731!4d126.9836313!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgESY2hpbmVzZV9yZXN0YXVyYW50"
24,보신각,쿠차라 종로점,4.4,멕시코 음식점,서울특별시 종로구 청진동 종로 33, 11:00~ 9:00,"https://www.google.com/maps/place/%EC%BF%A0%EC%B0%A8%EB%9D%BC+%EC%A2%85%EB%A1%9C%EC%A0%90/@37.5684021,126.9779398,16z/data=!4m17!1m10!2m9!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!6e5!3m5!1s0x357ca30f07397acf:0xb53bcaa3e2a54ac7!8m2!3d37.571304!4d126.9811194!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgESbWV4aWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5qYzA5RVYwMW5FQUU"
25,남한산성 북문,오대양참치,4.2,일본 음식점,경기도 성남시 중원구 은행2동 672, 11:30~ 10:00,"https://www.google.com/maps/place/%EC%98%A4%EB%8C%80%EC%96%91%EC%B0%B8%EC%B9%98/@37.4587971,127.1582568,15z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!3m5!1s0x357caf2860b900c5:0x6b34c1d20578ee90!8m2!3d37.4596949!4d127.1663154!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgETamFwYW5lc2VfcmVzdGF1cmFudA"
26,남한산성 북문,낙선재,4.1,한식당,경기도 광주시 중부면 불당리 194-1, 11:00~ 9:30,"https://www.google.com/maps/place/%EB%82%99%EC%84%A0%EC%9E%AC/@37.4526139,127.1677197,14z/data=!4m15!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!3m4!1s0x357cae98ae6cd0ff:0x4fdb83643963e1d7!8m2!3d37.4560549!4d127.2060135"
27,남한산성 북문,김가네빈대떡,4.1,음식점,경기도 광주시 중부면 산성리 581-12, 10:00~ 10:00,"https://www.google.com/maps/place/%EA%B9%80%EA%B0%80%EB%84%A4%EB%B9%88%EB%8C%80%EB%96%A1/@37.4775255,127.1819886,16z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!3m5!1s0x357caef6a6ad2d93:0x293908217404b29!8m2!3d37.4780694!4d127.1845043!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSbmJpMDNkelJuUlJBQg"
28,남한산성 북문,먹거리창고,4.3,한식당,경기도 광주시 중부면 남한산성로780번길 1, 10:30~ 9:00,"https://www.google.com/maps/place/%EB%A8%B9%EA%B1%B0%EB%A6%AC%EC%B0%BD%EA%B3%A0/@37.4802458,127.1818223,18z/data=!4m15!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!3m4!1s0x0:0x7a8f38b040fd05d1!8m2!3d37.4806324!4d127.1838408"
29,남한산성 북문,돌집,4.1,한식당,경기도 광주시 중부면 산성리 637, 11:00~ 10:00,"https://www.google.com/maps/place/%EB%8F%8C%EC%A7%91/@37.4801188,127.1834033,19z/data=!4m15!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!3m4!1s0x0:0x7f23596a857f422b!8m2!3d37.4804818!4d127.1832593"
