num,locate,name,rating,review,classfications,address,cost,url
20,노을공원,타임 트래블러스 파티 호스텔 인 홍대,4.5, 147,2성급 호텔,,"₩28,500","https://www.google.com/maps/place/%ED%83%80%EC%9E%84+%ED%8A%B8%EB%9E%98%EB%B8%94%EB%9F%AC%EC%8A%A4+%ED%8C%8C%ED%8B%B0+%ED%98%B8%EC%8A%A4%ED%85%94+%EC%9D%B8+%ED%99%8D%EB%8C%80/@37.5595577,126.9199909,16.25z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!5m2!4e3!9i106641!6e3!3m8!1s0x357c98ebe3d87195:0xdae0a2d48b142e38!5m2!4m1!1i2!8m2!3d37.5608616!4d126.92744!16s%2Fg%2F11bvv4zxdy"
21,보신각,수송 게스트하우스,4.3, 77,2성급 호텔,,"₩38,462","https://www.google.com/maps/place/%EC%88%98%EC%86%A1+%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4/@37.5697986,126.9815119,17z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!5m2!4e3!9i107031!6e3!3m8!1s0x357ca377f167b98f:0x8862dc2c3c55f669!5m2!4m1!1i2!8m2!3d37.573031!4d126.981101!16s%2Fg%2F1td1gyb_"
22,보신각,나인트리 프리미어 호텔 인사동,4.5, 548,4성급 호텔,,"₩65,570","https://www.google.com/maps/place/%EB%82%98%EC%9D%B8%ED%8A%B8%EB%A6%AC+%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4+%ED%98%B8%ED%85%94+%EC%9D%B8%EC%82%AC%EB%8F%99/@37.5724915,126.9809018,17z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!5m2!4e3!9i107031!6e3!3m9!1s0x357ca3e2036e1661:0x14448129b62842dc!5m2!4m1!1i2!8m2!3d37.5745074!4d126.9838475!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11fnvy8v72"
23,보신각,그리드인,4.5, 209,2성급 호텔,,"₩43,394","https://www.google.com/maps/place/%EA%B7%B8%EB%A6%AC%EB%93%9C%EC%9D%B8/@37.5687867,126.9872518,17z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!5m2!4e3!9i107031!6e3!3m9!1s0x357ca2e731e7f6c7:0xde24e53863f8940f!5m2!4m1!1i2!8m2!3d37.5696763!4d126.991292!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11c5_9cpjs"
24,보신각,센터마크호텔 서울,4.1, 959,4성급 호텔,,"₩58,586","https://www.google.com/maps/place/%EC%84%BC%ED%84%B0%EB%A7%88%ED%81%AC%ED%98%B8%ED%85%94+%EC%84%9C%EC%9A%B8/@37.5706056,126.9805817,16.42z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!5m2!4e3!9i107031!6e3!3m9!1s0x357ca2e830cbc6af:0xd32ef20d46f7753f!5m2!4m1!1i2!8m2!3d37.5725356!4d126.9841674!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11b73r7sjf"
25,보신각,신라스테이 광화문,4.1," 2,040",4성급 호텔,,"₩75,735","https://www.google.com/maps/place/%EC%8B%A0%EB%9D%BC%EC%8A%A4%ED%85%8C%EC%9D%B4+%EA%B4%91%ED%99%94%EB%AC%B8/@37.5707085,126.9816836,17z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyiheuhnOq1rCDsooXroZwgNTQg67O07Iug6rCB!3s0x357ca2e927b70aa5:0x41fbcab49144ffcd!4m2!1d126.9837167!2d37.5697987!5m2!4e3!9i107031!6e3!3m9!1s0x357ca2e97f6c6f35:0x8c51088b16d13da5!5m2!4m1!1i2!8m2!3d37.5725649!4d126.9811372!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11bzrpc9rc"
26,남한산성 북문,호텔바인,4.0, 254,3성급 호텔,,"₩68,530","https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%B0%94%EC%9D%B8/@37.4352371,127.1378251,18.17z/data=!4m25!1m15!2m14!1z6rKM7Iqk7Yq47ZWY7Jqw7Iqk!3m6!1z6rKM7Iqk7Yq47ZWY7Jqw7Iqk!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!5m4!4e3!5m2!4m1!1i2!6e3!3m8!1s0x357ca8905554b313:0x4b7452ccddf35411!5m2!4m1!1i2!8m2!3d37.4360634!4d127.1392601!16s%2Fg%2F12hks6g57"
27,남한산성 북문,밀리토피아호텔,4.0," 1,586",4성급 호텔,,"₩83,600","https://www.google.com/maps/place/%EB%B0%80%EB%A6%AC%ED%86%A0%ED%94%BC%EC%95%84%ED%98%B8%ED%85%94/@37.471682,127.1172985,13.12z/data=!4m25!1m15!2m14!1z6rKM7Iqk7Yq47ZWY7Jqw7Iqk!3m6!1z6rKM7Iqk7Yq47ZWY7Jqw7Iqk!2z6rK96riw64-EIOq0keyjvOyLnCDspJHrtoDrqbQg7IKw7ISx66asIDY2MSDrgqjtlZzsgrDshLEg67aB66y4!3s0x357caef6007fe82d:0x313125cc680f6fba!4m2!1d127.1848001!2d37.481568!5m4!4e3!5m2!4m1!1i2!6e3!3m8!1s0x357caf489259336b:0x5054599712367595!5m2!4m1!1i2!8m2!3d37.4682164!4d127.1441209!16s%2Fg%2F11cnx_y8q0"
28,국립중앙박물관,노보텔 앰배서더 서울 용산,4.4," 3,095",5성급 호텔,"KR, 95 청파로20길 용산구 서울특별시","₩118,618","https://www.google.com/maps/place/%EB%85%B8%EB%B3%B4%ED%85%94+%EC%95%B0%EB%B0%B0%EC%84%9C%EB%8D%94+%EC%84%9C%EC%9A%B8+%EC%9A%A9%EC%82%B0/@37.5239684,126.9646558,15z/data=!4m19!1m12!2m11!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyaqeyCsOq1rCDshJzruZnqs6DroZwgMTM3IOq1reumveykkeyVmeuwleusvOq0gA!3s0x357ca2ed7e746c37:0x616286c7a66e50e7!4m2!1d126.9804702!2d37.5238506!5m1!4e3!6e3!3m5!1s0x357ca204eea1e625:0xdc17d6e2e5c1574f!5m2!4m1!1i2!15sCgbtmLjthZSSAQVob3RlbA"
29,국립중앙박물관,이비스 스타일 앰배서더 서울 용산,4.3," 1,670",4성급 호텔,서울특별시 용산구 한강로3가 40-969,"₩108,240","https://www.google.com/maps/place/%EC%9D%B4%EB%B9%84%EC%8A%A4+%EC%8A%A4%ED%83%80%EC%9D%BC+%EC%95%B0%EB%B0%B0%EC%84%9C%EB%8D%94+%EC%84%9C%EC%9A%B8+%EC%9A%A9%EC%82%B0/@37.5238493,126.9630035,14z/data=!4m19!1m12!2m11!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyaqeyCsOq1rCDshJzruZnqs6DroZwgMTM3IOq1reumveykkeyVmeuwleusvOq0gA!3s0x357ca2ed7e746c37:0x616286c7a66e50e7!4m2!1d126.9804702!2d37.5238506!5m1!4e3!6e3!3m5!1s0x357ca204cff0f11f:0xe901b4a1d55e59eb!5m2!4m1!1i2!15sCgbtmLjthZSSAQVob3RlbA"
